Time,Voltage(V),Current(A),Power(W),Leakage Current(mA),total_forward_energy(kWh),price(DZD)
2025-08-12 23:38:17,386.64,10.24,18.6,0,16.97,88.53719999999998
2025-08-12 23:38:27,409.68,10.24,18.6,0,16.97,88.53719999999998
2025-08-12 23:38:37,407.12,10.24,18.6,0,16.97,88.53719999999998
2025-08-12 23:38:47,409.68,10.24,18.6,0,16.97,88.53719999999998
2025-08-12 23:38:58,407.12,10.24,18.6,0,16.97,88.53719999999998
2025-08-12 23:39:08,399.44,10.24,18.6,0,16.98,88.53719999999998
2025-08-12 23:39:18,407.12,10.24,18.6,0,16.98,88.53719999999998
2025-08-12 23:39:28,389.2,10.24,18.6,0,16.98,88.53719999999998
2025-08-12 23:39:39,394.32,10.24,16.6,0,16.98,88.53719999999998
2025-08-12 23:39:49,412.24,10.24,14.6,0,16.98,88.53719999999998
2025-08-12 23:39:59,407.12,10.24,13.6,0,16.98,88.53719999999998
2025-08-12 23:40:09,427.6,10.24,13.6,0,16.98,88.53719999999998
2025-08-12 23:40:19,404.56,10.24,13.6,0,16.98,88.53719999999998
2025-08-12 23:40:29,371.28,10.24,14.6,0,16.98,88.53719999999998
2025-08-12 23:40:40,399.44,10.24,13.6,0,16.98,88.53719999999998
2025-08-12 23:40:50,345.68,10.24,15.6,0,16.98,88.53719999999998
2025-08-12 23:41:00,378.96,10.24,16.6,0,16.98,88.53719999999998
2025-08-12 23:41:10,384.08,10.24,16.6,0,16.98,88.53719999999998
2025-08-12 23:41:20,386.64,10.24,16.6,0,16.98,88.53719999999998
2025-08-12 23:41:30,322.64,10.24,16.6,0,16.99,88.53719999999998
2025-08-12 23:41:40,353.36,10.24,16.6,0,16.99,88.53719999999998
2025-08-12 23:41:50,353.36,10.24,16.6,0,16.99,88.53719999999998
2025-08-12 23:42:01,325.2,10.24,17.6,0,16.99,88.53719999999998
2025-08-12 23:42:11,322.64,10.24,17.6,0,16.99,88.53719999999998
2025-08-12 23:42:21,327.76,10.24,18.6,0,16.99,88.53719999999998
2025-08-12 23:42:31,338.0,10.24,19.6,0,16.99,88.53719999999998
2025-08-12 23:42:41,294.48,10.24,18.6,0,16.99,88.53719999999998
2025-08-12 23:42:51,340.56,10.24,16.6,0,16.99,88.53719999999998
2025-08-12 23:43:01,371.28,10.24,18.6,0,16.99,88.53719999999998
2025-08-12 23:43:12,376.4,10.24,18.6,0,16.99,88.53719999999998
2025-08-12 23:43:22,389.2,10.24,16.6,0,16.99,88.53719999999998
2025-08-12 23:43:32,394.32,10.24,17.6,0,16.99,88.53719999999998
2025-08-12 23:43:42,378.96,10.24,17.6,0,16.99,88.53719999999998
2025-08-12 23:43:52,384.08,10.24,18.6,0,16.99,88.53719999999998
2025-08-12 23:44:02,417.36,10.24,15.6,0,17.0,88.53719999999998
2025-08-12 23:44:12,414.8,10.24,15.6,0,17.0,88.53719999999998
2025-08-12 23:44:22,419.92,10.24,15.6,0,17.0,88.53719999999998
2025-08-12 23:44:32,417.36,10.24,15.6,0,17.0,88.53719999999998
2025-08-12 23:44:42,409.68,10.24,16.6,0,17.0,88.53719999999998
2025-08-12 23:44:53,404.56,10.24,17.6,0,17.0,88.53719999999998
2025-08-12 23:45:03,389.2,10.24,18.6,0,17.0,88.53719999999998
2025-08-12 23:45:13,394.32,10.24,15.6,0,17.0,88.53719999999998
2025-08-12 23:45:23,389.2,10.24,16.6,0,17.0,88.53719999999998
2025-08-12 23:45:33,409.68,10.24,15.6,0,17.0,88.53719999999998
2025-08-12 23:45:44,414.8,10.24,15.6,0,17.0,88.53719999999998
2025-08-12 23:45:54,345.68,10.24,16.6,0,17.0,88.53719999999998
2025-08-12 23:46:04,350.8,10.24,15.6,0,17.0,88.53719999999998
2025-08-12 23:46:15,396.88,10.24,15.6,0,17.0,88.53719999999998
2025-08-12 23:46:25,409.68,10.24,15.6,0,17.01,88.53719999999998
2025-08-12 23:46:35,384.08,10.24,17.6,0,17.01,88.53719999999998
2025-08-12 23:46:45,394.32,10.24,15.6,0,17.01,88.53719999999998
2025-08-12 23:46:55,353.36,10.24,15.6,0,17.01,88.53719999999998
2025-08-12 23:47:06,404.56,10.24,17.6,0,17.01,88.53719999999998
2025-08-12 23:47:16,368.72,10.24,14.6,0,17.01,88.53719999999998
2025-08-12 23:47:26,376.4,10.24,15.6,0,17.01,88.53719999999998
2025-08-12 23:47:36,376.4,10.24,14.6,0,17.01,88.53719999999998
2025-08-12 23:47:47,399.44,10.24,18.6,0,17.01,88.53719999999998
2025-08-12 23:47:57,371.28,10.24,15.6,0,17.01,88.53719999999998
2025-08-12 23:48:07,361.04,10.24,15.6,0,17.01,88.53719999999998
2025-08-12 23:48:17,425.04,10.24,14.6,0,17.01,88.53719999999998
2025-08-12 23:48:27,363.6,10.24,15.6,0,17.01,88.53719999999998
2025-08-12 23:48:38,366.16,10.24,16.6,0,17.01,88.53719999999998
2025-08-12 23:48:48,376.4,10.24,15.6,0,17.02,88.53719999999998
2025-08-12 23:48:58,417.36,10.24,15.6,0,17.02,88.53719999999998
2025-08-12 23:49:09,427.6,10.24,15.6,0,17.02,88.53719999999998
2025-08-12 23:49:19,422.48,10.24,15.6,0,17.02,88.53719999999998
2025-08-12 23:49:29,425.04,5.12,21.8,0,17.02,88.53719999999998
2025-08-12 23:49:39,427.6,5.12,21.8,0,17.02,88.53719999999998
2025-08-12 23:49:50,414.8,5.12,21.8,0,17.02,88.53719999999998
2025-08-12 23:50:00,419.92,5.12,20.8,0,17.02,88.53719999999998
2025-08-12 23:50:10,409.68,5.12,21.8,0,17.02,88.53719999999998
2025-08-12 23:50:20,414.8,5.12,21.8,0,17.02,88.53719999999998
2025-08-12 23:50:31,409.68,5.12,21.8,0,17.02,88.53719999999998
2025-08-12 23:50:41,363.6,7.68,0.2,0,17.02,88.53719999999998
2025-08-12 23:50:51,358.48,5.12,21.8,0,17.02,88.53719999999998
2025-08-12 23:51:01,338.0,5.12,20.8,0,17.02,88.53719999999998
2025-08-12 23:51:12,366.16,7.68,0.2,0,17.02,88.53719999999998
2025-08-12 23:51:22,343.12,5.12,20.8,0,17.02,88.53719999999998
2025-08-12 23:51:32,368.72,7.68,0.2,0,17.02,88.53719999999998
2025-08-12 23:51:42,386.64,5.12,22.8,0,17.02,88.53719999999998
2025-08-12 23:51:52,412.24,5.12,20.8,0,17.02,88.53719999999998
2025-08-12 23:52:03,417.36,5.12,20.8,0,17.02,88.53719999999998
2025-08-12 23:52:13,419.92,5.12,20.8,0,17.02,88.53719999999998
2025-08-12 23:52:23,386.64,5.12,20.8,0,17.02,88.53719999999998
2025-08-12 23:52:33,361.04,5.12,24.8,0,17.02,88.53719999999998
2025-08-12 23:52:44,394.32,5.12,20.8,0,17.03,88.53719999999998
2025-08-12 23:52:54,381.52,5.12,20.8,0,17.03,88.53719999999998
2025-08-12 23:53:04,396.88,5.12,20.8,0,17.03,88.53719999999998
2025-08-12 23:53:15,407.12,5.12,20.8,0,17.03,88.53719999999998
2025-08-12 23:53:25,412.24,5.12,20.8,0,17.03,88.53719999999998
2025-08-12 23:53:35,414.8,5.12,20.8,0,17.03,88.53719999999998
2025-08-12 23:53:45,412.24,5.12,19.8,0,17.03,88.53719999999998
2025-08-12 23:53:55,396.88,5.12,20.8,0,17.03,88.53719999999998
2025-08-12 23:54:06,402.0,5.12,20.8,0,17.03,88.53719999999998
2025-08-12 23:54:16,399.44,5.12,20.8,0,17.03,88.53719999999998
2025-08-12 23:54:26,396.88,5.12,19.8,0,17.03,88.53719999999998
2025-08-12 23:54:36,399.44,5.12,19.8,0,17.03,88.53719999999998
